✅,ARRANGED,CLIENT,TREATMENT,LOCATION,CONTACT NUMBER,FREQUENCY,Prefer Day,Duration and PCT ,SALESMAN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN,KTN
❎,TO BE ,,,,,,,,,MON,TUE,WED,THU,FRI,SAT,SUN,MON,TUE,WED,THU,FRI,SAT,SUN,MON,TUE,WED,THU,FRI,SAT,SUN,MON,TUE,WED,THU,FRI,SAT,SUN,MON,TUE
,DONE,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01 .,MONTHLEY TREATMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,TOPAZ HOTELS,GPC/RC,Kandy,,Monthly,,,,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY,KANDY
,ARRANGED,SPECTRA LOGISTICS,GPC/RC/MC,DC,,Monthly,,,Wasantha,,,,,,,,,,,,,✅,,,,,,,,,,,,,,,,,
,ARRANGED,SPECTRA LOGISTICS,GPC/RC/MC,DEPOT,,Monthly,,,Wasantha,,,,,,,,,,,,,❎,,,,,,,,,,,,,,,,,
,ARRANGED,SPECTRA LOGISTICS,GPC/RC/MC,Wattala,,Monthly,,,Wasantha,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,SPECTRA LOGISTICS,GPC/RC/MC,Sapugaskanda,,Monthly,,,Wasantha,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,SPECTRA LOGISTICS,GPC/RC,Nittabuwa,,Monthly,,,Wasantha,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,SPECTRA LOGISTICS,GPC/RC/MC,Ja Ela WH,,Monthly,,,Wasantha,,❎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Upali Mills,GPC+RC,Maravila,,Monthly,Not specified,2 hrs - 02 PCT,Wasantha,,,,✅,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARRANGED,Nelna Farm (Pvt) Ltd,GPC/RC/MC,Mithirigala,,Monthly,2 pm Saturday,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
